36	-1
67	1900
64	1941
58	1947
59	1949
62	1950
66	1951
65	1952
56	1953
61	1954
60	1955
57	1956
54	1957
63	1958
47	1959
45	1960
46	1961
50	1962
55	1963
51	1964
49	1965
43	1966
48	1967
44	1968
38	1969
52	1970
40	1971
37	1972
10	1973
30	1974
15	1975
12	1976
29	1977
20	1978
27	1979
33	1980
42	1981
18	1982
32	1983
34	1984
17	1985
24	1986
5	1987
31	1988
25	1989
26	1990
21	1991
28	1992
9	1993
13	1994
22	1995
6	1996
7	1997
23	1998
8	1999
16	2000
14	2001
19	2002
2	2003
11	2004
4	2005
1	2006
3	2007
35	2008
39	2009
41	2010
53	2018
-1	misc
